category,count
en:plant-based-foods-and-beverages,8
en:plant-based-foods,7
en:dairies,5
en:fermented-foods,5
en:beverages,4
en:cereals-and-potatoes,4
en:fermented-milk-products,4
en:breakfasts,4
en:spreads,4
en:cheeses,4
en:snacks,4
en:biscuits,3
en:sweet-snacks,3
en:carbonated-drinks,3
en:biscuits-and-cakes,3
en:cereals-and-their-products,3
en:fresh-foods,2
en:cheese-spreads,2
en:mueslis-with-fruits,2
en:mueslis,2
en:cereals-with-fruits,2
en:breakfast-cereals,2
en:artificially-sweetened-beverages,2
en:salted-spreads,2
en:sauces,2
en:refrigerated-foods,2
en:sweet-spreads,2
en:desserts,2
en:condiments,2
en:diet-cola-soft-drink,2
en:diet-sodas,2
en:colas,2
en:diet-beverages,2
en:sodas,2
en:sweeteners,2
en:semi-skimmed-milks,1
en:homogenized-milks,1
en:uht-milks,1
en:nuts-and-their-products,1
en:soy-milk-yogurts,1
en:milks,1
en:french-cheeses,1
en:french-emmentaler,1
en:dairy-substitutes,1
en:non-dairy-desserts,1
en:almonds,1
en:non-dairy-fermented-foods,1
en:non-dairy-yogurts,1
en:nuts,1
en:Groceries,1
en:Mandeln,1
en:Nüsse,1
en:honeys,1
en:farming-products,1
en:bee-products,1
en:salty-snacks-made-from-potato,1
en:crisps,1
en:chips-and-fries,1
en:appetizers,1
en:salty-snacks,1
en:groceries,1
en:tomato-ketchup,1
en:ketchup,1
en:dijon-mustards,1
en:tomato-sauces,1
en:mustards,1
en:hard-cheeses,1
en:green-pestos,1
en:pestos,1
en:pasta-sauces,1
en:Pflanzliche Lebensmittel und Getränke,1
en:Pflanzliche Lebensmittel,1
en:Nüsse und Nussprodukte,1
en:emmentaler,1
en:simple-syrups,1
en:cow-cheeses,1
en:breads,1
en:soups,1
en:meals,1
en:vegetables-based-foods,1
en:fruits-and-vegetables-based-foods,1
en:wholemeal-sliced-breads,1
en:wholemeal-breads,1
en:sliced-breads-without-crust,1
en:sliced-breads,1
en:filled-biscuits,1
en:vegetable-soups,1
en:chocolate-biscuits,1
en:cocoa-and-hazelnuts-spreads,1
en:chocolate-spreads,1
en:hazelnut-spreads,1
fr:pates-a-tartiner,1
en:Rice Noodles,1
en:noodles,1
en:pastas,1
en:fresh-meals,1
en:cold-soups,1
fr:Alimentaire,1
en:carbonated-mineral-waters,1
en:petit-beurre,1
fr:specialites-laitieres-nature-non-sucrees,1
fr:specialites-laitieres,1
en:plain-fermented-dairy-desserts,1
en:fermented-dairy-desserts,1
en:dairy-desserts,1
en:agave-syrups,1
en:syrups,1
en:natural-mineral-waters,1
en:refrigerated-meals,1
en:carbonated-waters,1
en:unsweetened-beverages,1
en:non-alcoholic-beverages,1
en:mineral-waters,1
en:spring-waters,1
en:waters,1
en:refrigerated-soups,1
en:gazpacho,1
en:flower-honeys,1
